,Country,avg_likes,avg_dislikes,avg_views
0,ca,18657.65524034673,879.8270291568164,533467.5234436564
1,de,14874.552341824157,847.2913722267872,418249.3991783073
2,fr,10894.700898203593,508.6839820359281,293838.127994012
3,gb,46257.696,1914.2104615384615,1306259.896
4,in,13631.497896213185,1011.0301542776998,463405.3387096774
5,jp,6131.144117014412,265.05743170574317,185717.37061733706
6,kr,8116.366312144447,532.4971555775414,310428.1533514717
7,mx,9283.78601117959,429.7200802637237,219199.327218002
8,ru,6959.863078920791,635.9046313663252,166723.18063771463
9,us,27433.352514725873,1110.4195740824648,621083.221567739
